c_id,g,from,to,from_id,to_id,probability
1,7,region,surface,551,3,0.29650860626553943
1,7,surface,region,1,548,0.05180246678943681
1,7,surface,region,1,549,0.051804811707613675
1,7,surface,region,1,550,0.023914970453005068
1,7,surface,region,1,551,0.021205036450434044
1,7,surface,surface,1,1,0.0
1,7,surface,surface,1,2,0.4255528195897044
1,7,surface,surface,1,3,0.425719895009806
1,7,surface,region,2,548,0.02390903138512196
1,7,surface,region,2,549,0.05171328358184891
1,7,surface,region,2,550,0.05150983340097906
1,7,surface,region,2,551,0.02125001960479949
1,7,surface,surface,2,1,0.426301417892388
1,7,surface,surface,2,2,0.0
1,7,surface,surface,2,3,0.42531641413486254
1,7,surface,region,3,548,0.05166141958149484
1,7,surface,region,3,549,0.02400813842955326
1,7,surface,region,3,550,0.05171127590875693
1,7,surface,region,3,551,0.021351705331274912
1,7,surface,surface,3,1,0.42538298237558303
1,7,surface,surface,3,2,0.42588447837333704
1,7,surface,surface,3,3,0.0
487,0,region,region,2492,2492,0.031138771834353065
487,0,region,region,2492,2493,0.0036905158807030896
487,0,region,surface,2492,1459,0.42041997977602374
487,0,region,surface,2492,1460,0.13043152524815427
487,0,region,surface,2492,1461,0.4143192072607658
487,0,region,region,2493,2492,0.009088136858130754
487,0,region,region,2493,2493,0.010810884128183908
487,0,region,surface,2493,1459,0.36656898138402216
487,0,region,surface,2493,1460,0.3074460149767016
487,0,region,surface,2493,1461,0.3060859826529616
487,0,surface,region,1459,2492,0.02162266218252096
487,0,surface,region,1459,2493,0.00768204160516184
487,0,surface,surface,1459,1459,0.0
487,0,surface,surface,1459,1460,0.31018367750673387
487,0,surface,surface,1459,1461,0.6605116187055834
487,0,surface,region,1460,2492,0.013405229109179455
487,0,surface,region,1460,2493,0.012875734828582317
487,0,surface,surface,1460,1459,0.6194401121631583
487,0,surface,surface,1460,1460,0.0
487,0,surface,surface,1460,1461,0.35427892389908
487,0,surface,region,1461,2492,0.024579665253915414
487,0,surface,region,1461,2493,0.0074050974933151026
487,0,surface,surface,1461,1459,0.7624925794971055
487,0,surface,surface,1461,1460,0.20552265775566406
487,0,surface,surface,1461,1461,0.0
487,1,region,region,2492,2492,0.03827817129864447
487,1,region,region,2492,2493,0.005571387832517688
487,1,region,surface,2492,1459,0.41732327686027115
487,1,region,surface,2492,1460,0.12768969943979894
487,1,region,surface,2492,1461,0.4111374645687676
487,1,region,region,2493,2492,0.011280157048099634
487,1,region,region,2493,2493,0.015317798195424727
487,1,region,surface,2493,1459,0.36395984806066833
487,1,region,surface,2493,1460,0.3054199988065365
487,1,region,surface,2493,1461,0.30402219788927076
487,1,surface,region,1459,2492,0.026228760384155014
487,1,surface,region,1459,2493,0.011328656168286861
487,1,surface,surface,1459,1459,0.0
487,1,surface,surface,1459,1460,0.30728612713914955
487,1,surface,surface,1459,1461,0.6551564563084086
487,1,surface,region,1460,2492,0.016022015764928333
487,1,surface,region,1460,2493,0.019043534831040383
487,1,surface,surface,1460,1459,0.6142955964163341
487,1,surface,surface,1460,1460,0.0
487,1,surface,surface,1460,1461,0.35063885298769726
487,1,surface,region,1461,2492,0.029839002478504805
487,1,surface,region,1461,2493,0.010916685306716283
487,1,surface,surface,1461,1459,0.7563720367088212
487,1,surface,surface,1461,1460,0.20287227550595782
487,1,surface,surface,1461,1461,0.0
487,2,region,region,2492,2492,0.05314510992510605
487,2,region,region,2492,2493,0.005832839164525268
487,2,region,surface,2492,1459,0.4112039050317366
487,2,region,surface,2492,1460,0.12474962113724715
487,2,region,surface,2492,1461,0.40506852474138494
487,2,region,region,2493,2492,0.014175942820388285
487,2,region,region,2493,2493,0.01844729438223879
487,2,region,surface,2493,1459,0.36155805472055585
487,2,region,surface,2493,1460,0.304407977929755
487,2,region,surface,2493,1461,0.301410730147062
487,2,surface,region,1459,2492,0.03498666607563391
487,2,surface,region,1459,2493,0.012747806448292586
487,2,surface,surface,1459,1459,0.0
487,2,surface,surface,1459,1460,0.30485926595985663
487,2,surface,surface,1459,1461,0.6474062615162169
487,2,surface,region,1460,2492,0.021244844630544976
487,2,surface,region,1460,2493,0.0214796996975266
487,2,surface,surface,1460,1459,0.6100583566441946
487,2,surface,surface,1460,1460,0.0
487,2,surface,surface,1460,1461,0.3472170990277339
487,2,surface,region,1461,2492,0.039804475938770595
487,2,surface,region,1461,2493,0.012264558991703384
487,2,surface,surface,1461,1459,0.7473635986596304
487,2,surface,surface,1461,1460,0.20056736640989556
487,2,surface,surface,1461,1461,0.0
487,3,region,region,2492,2492,0.050101583335914655
487,3,region,region,2492,2493,0.005522445891914935
487,3,region,surface,2492,1459,0.41257393007161697
487,3,region,surface,2492,1460,0.12546622878072064
487,3,region,surface,2492,1461,0.4063358119198327
487,3,region,region,2493,2492,0.014863990871418339
487,3,region,region,2493,2493,0.01605819581271606
487,3,region,surface,2493,1459,0.3620757360775046
487,3,region,surface,2493,1460,0.3049491957536189
487,3,region,surface,2493,1461,0.3020528814847422
487,3,surface,region,1459,2492,0.03577918579178907
487,3,surface,region,1459,2493,0.011604313573449968
487,3,surface,surface,1459,1459,0.0
487,3,surface,surface,1459,1460,0.305197021443456
487,3,surface,surface,1459,1461,0.6474194791913049
487,3,surface,region,1460,2492,0.021784387126109684
487,3,surface,region,1460,2493,0.019572787251965207
487,3,surface,surface,1460,1459,0.6108357268798242
487,3,surface,surface,1460,1460,0.0
487,3,surface,surface,1460,1461,0.34780709874210086
487,3,surface,region,1461,2492,0.040688834161647904
487,3,surface,region,1461,2493,0.011169533099173597
487,3,surface,surface,1461,1459,0.7474498016356951
487,3,surface,surface,1461,1460,0.20069183110348354
487,3,surface,surface,1461,1461,0.0
487,4,region,region,2492,2492,0.055361133213222974
487,4,region,region,2492,2493,0.006332393543427999
487,4,region,surface,2492,1459,0.4102493879224259
487,4,region,surface,2492,1460,0.12399806296452828
487,4,region,surface,2492,1461,0.4040590223563948
487,4,region,region,2493,2492,0.016370929403105503
487,4,region,region,2493,2493,0.019900115740057546
487,4,region,surface,2493,1459,0.3599701954594844
487,4,region,surface,2493,1460,0.30375408257274394
487,4,region,surface,2493,1461,0.30000467682460863
487,4,surface,region,1459,2492,0.039395911102902297
487,4,surface,region,1459,2493,0.01303322192688715
487,4,surface,surface,1459,1459,0.0
487,4,surface,surface,1459,1460,0.3038330917444455
487,4,surface,surface,1459,1461,0.6437377752257649
487,4,surface,region,1460,2492,0.023849692775153322
487,4,surface,region,1460,2493,0.021970438331191573
487,4,surface,surface,1460,1459,0.6083080953550386
487,4,surface,surface,1460,1460,0.0
487,4,surface,surface,1460,1461,0.3458717735386164
487,4,surface,region,1461,2492,0.04482417320856662
487,4,surface,region,1461,2493,0.012521747487494374
487,4,surface,surface,1461,1459,0.7432418651153512
487,4,surface,surface,1461,1460,0.19941221418858796
487,4,surface,surface,1461,1461,0.0
487,5,region,region,2492,2492,0.059283405133870204
487,5,region,region,2492,2493,0.005858646337500604
487,5,region,surface,2492,1459,0.4086669205861422
487,5,region,surface,2492,1460,0.12371041387068013
487,5,region,surface,2492,1461,0.4024806140718069
487,5,region,region,2493,2492,0.01749350959590272
487,5,region,region,2493,2493,0.016868221044966443
487,5,region,surface,2493,1459,0.36047429654279173
487,5,region,surface,2493,1460,0.30476290788315846
487,5,region,surface,2493,1461,0.30040106493318064
487,5,surface,region,1459,2492,0.041450706011726075
487,5,surface,region,1459,2493,0.012645593997563305
487,5,surface,surface,1459,1459,0.0
487,5,surface,surface,1459,1460,0.3038364903435104
487,5,surface,surface,1459,1461,0.6420672096472003
487,5,surface,region,1460,2492,0.02508185936119973
487,5,surface,region,1460,2493,0.021373047563773225
487,5,surface,surface,1460,1459,0.6079462401297707
487,5,surface,surface,1460,1460,0.0
487,5,surface,surface,1460,1461,0.34559885294525644
487,5,surface,region,1461,2492,0.04714728581659419
487,5,surface,region,1461,2493,0.012174772713859888
487,5,surface,surface,1461,1459,0.741383561292413
487,5,surface,surface,1461,1460,0.19929438017713286
487,5,surface,surface,1461,1461,0.0
487,6,region,region,2492,2492,0.0663898922836005
487,6,region,region,2492,2493,0.013391522290304736
487,6,region,surface,2492,1459,0.40432749785350436
487,6,region,surface,2492,1460,0.11730912936755838
487,6,region,surface,2492,1461,0.39858195820503206
487,6,region,region,2493,2492,0.017569745999124198
487,6,region,region,2493,2493,0.12407599963013816
487,6,region,surface,2493,1459,0.3208449714781854
487,6,region,surface,2493,1460,0.27189207012720107
487,6,region,surface,2493,1461,0.26561721276535116
487,6,surface,region,1459,2492,0.04299773376376251
487,6,surface,region,1459,2493,0.027651304234288944
487,6,surface,surface,1459,1459,0.0
487,6,surface,surface,1459,1460,0.2957300475646922
487,6,surface,surface,1459,1461,0.6336209144372564
487,6,surface,region,1460,2492,0.025018181950037455
487,6,surface,region,1460,2493,0.04646304091301363
487,6,surface,surface,1460,1459,0.5926966059323923
487,6,surface,surface,1460,1460,0.0
487,6,surface,surface,1460,1461,0.3358221712045568
487,6,surface,region,1461,2492,0.04891360001003121
487,6,surface,region,1461,2493,0.02646938438577851
487,6,surface,surface,1461,1459,0.7315387832809731
487,6,surface,surface,1461,1460,0.19307823232321727
487,6,surface,surface,1461,1461,0.0
487,7,region,region,2492,2492,0.07875778469250665
487,7,region,region,2492,2493,0.004706944250777446
487,7,region,surface,2492,1459,0.40050143125198306
487,7,region,surface,2492,1460,0.12155175187803166
487,7,region,surface,2492,1461,0.3944820879267013
487,7,region,region,2493,2492,0.022023830748235097
487,7,region,region,2493,2493,0.01359541290828087
487,7,region,surface,2493,1459,0.3603310812732748
487,7,region,surface,2493,1460,0.305866340285204
487,7,region,surface,2493,1461,0.2981833347850052
487,7,surface,region,1459,2492,0.045203162328936855
487,7,surface,region,1459,2493,0.010349596430309558
487,7,surface,surface,1459,1459,0.0
487,7,surface,surface,1459,1460,0.30378313459419715
487,7,surface,surface,1459,1461,0.6406641066465564
487,7,surface,region,1460,2492,0.02733376902891775
487,7,surface,region,1460,2493,0.017429434689661294
487,7,surface,surface,1460,1459,0.609142009638164
487,7,surface,surface,1460,1460,0.0
487,7,surface,surface,1460,1461,0.3460947866432569
487,7,surface,region,1461,2492,0.05123941487254647
487,7,surface,region,1461,2493,0.00995923118153915
487,7,surface,surface,1461,1459,0.7400259626073188
487,7,surface,surface,1461,1460,0.19877539133859562
487,7,surface,surface,1461,1461,0.0
489,0,region,region,2496,2496,0.05518536587744784
489,0,region,region,2496,2497,0.007603214749541722
489,0,region,region,2496,2498,0.012361953124923147
489,0,region,surface,2496,1465,0.30203763266878214
489,0,region,surface,2496,1466,0.21245507712168485
489,0,region,surface,2496,1467,0.08562836480084551
489,0,region,surface,2496,1468,0.32472839165677475
489,0,region,region,2497,2496,0.007603214749541722
489,0,region,region,2497,2497,0.05518536587744784
489,0,region,region,2497,2498,0.012361953124923147
489,0,region,surface,2497,1465,0.08562836480084551
489,0,region,surface,2497,1466,0.21245507712168485
489,0,region,surface,2497,1467,0.30203763266878214
489,0,region,surface,2497,1468,0.32472839165677475
489,0,region,region,2498,2496,0.014946932168349055
489,0,region,region,2498,2497,0.01484356540863115
489,0,region,region,2498,2498,0.024869718044952412
489,0,region,surface,2498,1465,0.16474976324710952
489,0,region,surface,2498,1466,0.34750903383879395
489,0,region,surface,2498,1467,0.16467572839192274
489,0,region,surface,2498,1468,0.2684052589002411
489,0,surface,region,1465,2496,0.05394322938943794
489,0,surface,region,1465,2497,0.015225489136860641
489,0,surface,region,1465,2498,0.024116935690090015
489,0,surface,surface,1465,1465,0.0
489,0,surface,surface,1465,1466,0.3485287701882679
489,0,surface,surface,1465,1467,0.226316294059482
489,0,surface,surface,1465,1468,0.33186928153586154
